x, y
0.000000, 0.800000
0.800000, 1.357365
1.600000, 1.334006
2.400000, 0.744091
3.200000, -0.054545
4.000000, -0.577460
4.800000, -0.507461
5.600000, 0.112992
6.400001, 0.907540
7.200001, 1.394221
8.000001, 1.277820
8.800001, 0.628945
9.600001, -0.158805
10.400002, -0.607592
11.200002, -0.445186
12.000002, 0.229898
12.800002, 1.008163
13.600002, 1.417525
14.400002, 1.209669
15.200003, 0.510678
16.000002, -0.255449
16.800001, -0.623991
17.600000, -0.371395
18.400000, 0.349117
19.199999, 1.100493
19.999998, 1.426960
