x, y
-49, 117696.015625
-48, 110638.015625
-47, 103868.015625
-46, 97380.007813
-45, 91168.007813
-44, 85226.007813
-43, 79548.007813
-42, 74128.007813
-41, 68960.007813
-40, 64038.007813
-39, 59356.007813
-38, 54908.007813
-37, 50688.007813
-36, 46690.003906
-35, 42908.003906
-34, 39336.003906
-33, 35968.003906
-32, 32798.003906
-31, 29820.003906
-30, 27028.003906
-29, 24416.001953
-28, 21978.001953
-27, 19708.001953
-26, 17600.001953
-25, 15648.001953
-24, 13846.001953
-23, 12188.000977
-22, 10668.000977
-21, 9280.000977
-20, 8018.000977
-19, 6876.000977
-18, 5848.000488
-17, 4928.000488
-16, 4110.000488
-15, 3388.000488
-14, 2756.000244
-13, 2208.000244
-12, 1738.000244
-11, 1340.000122
-10, 1008.000122
-9, 736.000061
-8, 518.000061
-7, 348.000031
-6, 220.000031
-5, 128.000015
-4, 66.000008
-3, 28.000004
-2, 8.000000
-1, -0.000000
0, -2.000000
1, -4.000000
2, -12.000002
3, -32.000008
4, -70.000008
5, -132.000015
6, -224.000031
7, -352.000031
8, -522.000061
9, -740.000061
10, -1012.000122
11, -1344.000122
12, -1742.000244
13, -2212.000244
14, -2760.000244
15, -3392.000488
16, -4114.000488
17, -4932.000488
18, -5852.000488
19, -6880.000977
20, -8022.000977
21, -9284.000977
22, -10672.000977
23, -12192.000977
24, -13850.001953
25, -15652.001953
26, -17604.001953
27, -19712.001953
28, -21982.001953
29, -24420.001953
30, -27032.003906
31, -29824.003906
32, -32802.003906
33, -35972.003906
34, -39340.003906
35, -42912.003906
36, -46694.003906
37, -50692.007813
38, -54912.007813
39, -59360.007813
40, -64042.007813
41, -68964.007813
42, -74132.007813
43, -79552.007813
44, -85230.007813
45, -91172.007813
46, -97384.007813
47, -103872.015625
48, -110642.015625
49, -117700.015625
50, -125052.015625
